scrubbed_genus,scrubbed_species_binomial,latitude,longitude,extant_of_fossil,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world,on map coded,gbifID(OnlyRecordedForC.pechuelii)
Paullinia,Paullinia fraxinifolia,8.5313889,-83.4336111,extant,11/6/99,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia fraxinifolia,8.531329,-83.433609,extant,11/6/99,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fraxinifolia,8.531329,-83.433609,extant,11/6/99,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fraxinifolia,8.531329,-83.433609,extant,11/6/99,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fraxinifolia,8.531329,-83.433609,extant,11/6/99,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fraxinifolia,8.531329,-83.433609,extant,11/6/99,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia costaricensis,9.797222,-83.430556,extant,6/14/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia costaricensis,9.79722,-83.43055,extant,6/14/93,MO,CR,CR,CR,NA,280,1,NA,
Paullinia,Paullinia costaricensis,9.79,-83.43,extant,6/14/93,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia pterocarpa,8.718333,-83.43,extant,NA,GBIF,ENCB-IPN,ENCB-IPN,ENCB-IPN,ENCB,2187,1,NA,
Paullinia,Paullinia brenesii,8.72,-83.4278,extant,10/24/01,GBIF,US,US,US,Botany,3271,1,NA,
Paullinia,Paullinia bracteosa,8.594444,-83.425,extant,5/17/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,8.594444,-83.425,extant,5/17/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,8.594444,-83.425,extant,5/17/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,8.594444,-83.425,extant,5/17/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,8.5944444,-83.425,extant,5/17/00,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia bracteosa,8.59444,-83.425,extant,5/17/00,GBIF,G,G,G,Geneva Herbarium – General Collection (G),3547,1,NA,
